,idf_weights
reassurance,8.060762448107315
reason trump,8.060762448107315
fellow citizen,8.060762448107315
fellow student,8.060762448107315
reason state,8.060762448107315
felt like,8.060762448107315
reason people,8.060762448107315
fend,8.060762448107315
extraordinaire,8.060762448107315
extract,8.060762448107315
enter canada,8.060762448107315
rich poor,8.060762448107315
even great,8.060762448107315
even good,8.060762448107315
even go,8.060762448107315
even give,8.060762448107315
reward,8.060762448107315
ri,8.060762448107315
rid coun,8.060762448107315
review,8.060762448107315
ride,8.060762448107315
ridicule bully,8.060762448107315
riff bebest,8.060762448107315
right continue,8.060762448107315
right coronavirus,8.060762448107315
ethos aspiration,8.060762448107315
revolt,8.060762448107315
revert,8.060762448107315
extortion,8.060762448107315
resume,8.060762448107315
rest obtain,8.060762448107315
every cootie,8.060762448107315
every consequence,8.060762448107315
restaurant nunes,8.060762448107315
ever want,8.060762448107315
ever trust,8.060762448107315
retard,8.060762448107315
revelation,8.060762448107315
ever presidential,8.060762448107315
ever know,8.060762448107315
ever come,8.060762448107315
retire,8.060762448107315
eventually,8.060762448107315
even tune,8.060762448107315
ethos,8.060762448107315
ethic,8.060762448107315
right go,8.060762448107315
robbed silence,8.060762448107315
equivalent set,8.060762448107315
river,8.060762448107315
rna,8.060762448107315
equality,8.060762448107315
epidemic people,8.060762448107315
robbed,8.060762448107315
robot,8.060762448107315
right leave,8.060762448107315
rocket,8.060762448107315
role global,8.060762448107315
rona virus,8.060762448107315
entire human,8.060762448107315
room set,8.060762448107315
entertain,8.060762448107315
rival,8.060762448107315
risk virus,8.060762448107315
rise occasion,8.060762448107315
escalate,8.060762448107315
rise fear,8.060762448107315
escape wuhan,8.060762448107315
riot,8.060762448107315
ring,8.060762448107315
especially president,8.060762448107315
right virus,8.060762448107315
right user,8.060762448107315
essentially,8.060762448107315
establish,8.060762448107315
right say,8.060762448107315
estimate,8.060762448107315
right make,8.060762448107315
etc coronavirus,8.060762448107315
responsible virus,8.060762448107315
every indian,8.060762448107315
responsibility usual,8.060762448107315
exempt,8.060762448107315
replace,8.060762448107315
exist can't,8.060762448107315
replacement,8.060762448107315
exhibit,8.060762448107315
exhaust,8.060762448107315
exercise,8.060762448107315
report chinese,8.060762448107315
example woman,8.060762448107315
report priti,8.060762448107315
excuse racism,8.060762448107315
reporter try,8.060762448107315
reprehensible,8.060762448107315
represent spirit,8.060762448107315
exclusive vaccine,8.060762448107315
expect deadly,8.060762448107315
expectation,8.060762448107315
expedite,8.060762448107315
repeatedly call,8.060762448107315
experience bully,8.060762448107315
reopen business,8.060762448107315
rename virus,8.060762448107315
explanation,8.060762448107315
exponentially,8.060762448107315
remover,8.060762448107315
expose coronavirus,8.060762448107315
exposure,8.060762448107315
express concern,8.060762448107315
remotely,8.060762448107315
remainers,8.060762448107315
extort bully,8.060762448107315
extort virus,8.060762448107315
repub let,8.060762448107315
republic,8.060762448107315
response team,8.060762448107315
everyone donate,8.060762448107315
everything bully,8.060762448107315
everything bad,8.060762448107315
resilient,8.060762448107315
everyone stay,8.060762448107315
everyone say,8.060762448107315
everyone know,8.060762448107315
respiratory,8.060762448107315
examine,8.060762448107315
respond bullying,8.060762448107315
everyday bully,8.060762448107315
respond lie,8.060762448107315
everybody else,8.060762448107315
responder,8.060762448107315
every year,8.060762448107315
everything even,8.060762448107315
everything make,8.060762448107315
everytime,8.060762448107315
rescue,8.060762448107315
everywhere go,8.060762448107315
evict,8.060762448107315
eviction,8.060762448107315
request however,8.060762448107315
evidence trump,8.060762448107315
repubs,8.060762448107315
republicans,8.060762448107315
republican let,8.060762448107315
ew least,8.060762448107315
ex,8.060762448107315
exact,8.060762448107315
exact reason,8.060762448107315
republican bully,8.060762448107315
real issue,8.060762448107315
first kid,8.060762448107315
real deal,8.060762448107315
get info,8.060762448107315
get new,8.060762448107315
profession,8.060762448107315
get much,8.060762448107315
professional give,8.060762448107315
get lot,8.060762448107315
get listen,8.060762448107315
professor,8.060762448107315
get phone,8.060762448107315
get help,8.060762448107315
get head,8.060762448107315
get go,8.060762448107315
get get,8.060762448107315
get fuck,8.060762448107315
profit people,8.060762448107315
get nothing,8.060762448107315
get point,8.060762448107315
first one,8.060762448107315
get time,8.060762448107315
problem call,8.060762448107315
problem chinese,8.060762448107315
problem gland,8.060762448107315
get twitter,8.060762448107315
get trump,8.060762448107315
get together,8.060762448107315
problem people,8.060762448107315
get priti,8.060762448107315
get street,8.060762448107315
get straight,8.060762448107315
problematic,8.060762448107315
procedure,8.060762448107315
proceed,8.060762448107315
get real,8.060762448107315
get do,8.060762448107315
profiteer,8.060762448107315
progress make,8.060762448107315
provide opportunity,8.060762448107315
protest,8.060762448107315
generation learn,8.060762448107315
generate,8.060762448107315
proven,8.060762448107315
general election,8.060762448107315
provide cover,8.060762448107315
gee call,8.060762448107315
get company,8.060762448107315
province province,8.060762448107315
gay,8.060762448107315
gate,8.060762448107315
psa user,8.060762448107315
psychological,8.060762448107315
gaslight covid,8.060762448107315
gentleman,8.060762448107315
gentleman present,8.060762448107315
genuine,8.060762448107315
protect u,8.060762448107315
protect people,8.060762448107315
protect bully,8.060762448107315
germaphobe,8.060762448107315
prospect,8.060762448107315
get another,8.060762448107315
property,8.060762448107315
propaganda bully,8.060762448107315
get ball,8.060762448107315
proof,8.060762448107315
pronounce,8.060762448107315
get blame,8.060762448107315
promote racism,8.060762448107315
get close,8.060762448107315
probably try,8.060762448107315
ghana,8.060762448107315
gi,8.060762448107315
pretty good,8.060762448107315
pressers daily,8.060762448107315
go die,8.060762448107315
go cost,8.060762448107315
go china,8.060762448107315
go buy,8.060762448107315
pretending,8.060762448107315
prevent corona,8.060762448107315
global leader,8.060762448107315
go able,8.060762448107315
go 2,8.060762448107315
prevent pandemic,8.060762448107315
prevent thing,8.060762448107315
globalists,8.060762448107315
prevent virus,8.060762448107315
go fuck,8.060762448107315
presser,8.060762448107315
go go,8.060762448107315
go good,8.060762448107315
go hard,8.060762448107315
go hell,8.060762448107315
pressbriefing,8.060762448107315
go history,8.060762448107315
press sec,8.060762448107315
go imagine,8.060762448107315
press briefing,8.060762448107315
go long,8.060762448107315
go lose,8.060762448107315
presidential even,8.060762448107315
go one,8.060762448107315
presidential bully,8.060762448107315
go pay,8.060762448107315
global pandemic,8.060762448107315
global health,8.060762448107315
probably coronavirus,8.060762448107315
pritti,8.060762448107315
give nickname,8.060762448107315
principle,8.060762448107315
priority right,8.060762448107315
priti patel's,8.060762448107315
give credit,8.060762448107315
give covid,8.060762448107315
give break,8.060762448107315
previous trump,8.060762448107315
privacy,8.060762448107315
girl use,8.060762448107315
girl name,8.060762448107315
girl bully,8.060762448107315
proactive,8.060762448107315
giant bully,8.060762448107315
primitive,8.060762448107315
give people,8.060762448107315
give platform,8.060762448107315
give right,8.060762448107315
pride,8.060762448107315
give single,8.060762448107315
prez,8.060762448107315
give virus,8.060762448107315
give whole,8.060762448107315
give world,8.060762448107315
giveaway,8.060762448107315
previously,8.060762448107315
gladys,8.060762448107315
gland,8.060762448107315
gland include,8.060762448107315
gland much,8.060762448107315
glare,8.060762448107315
gaslight can't,8.060762448107315
psychological damage,8.060762448107315
gas mask,8.060762448107315
ramp,8.060762448107315
food item,8.060762448107315
raise gov,8.060762448107315
follower supporter,8.060762448107315
follow u,8.060762448107315
follow guideline,8.060762448107315
rambling,8.060762448107315
foe resistant,8.060762448107315
random,8.060762448107315
rampant,8.060762448107315
focus real,8.060762448107315
focus coronavirus,8.060762448107315
focus contain,8.060762448107315
rancor,8.060762448107315
rancor divisiveness,8.060762448107315
rag,8.060762448107315
foolishness,8.060762448107315
radio,8.060762448107315
football,8.060762448107315
radical,8.060762448107315
force asian,8.060762448107315
racist white,8.060762448107315
foreign policy,8.060762448107315
racist president,8.060762448107315
forever,8.060762448107315
racist people,8.060762448107315
forgive,8.060762448107315
racist misogynistic,8.060762448107315
form bully,8.060762448107315
racist lie,8.060762448107315
form council,8.060762448107315
racist crap,8.060762448107315
fn,8.060762448107315
flu would,8.060762448107315
four,8.060762448107315
flash,8.060762448107315
flight china,8.060762448107315
reaction virus,8.060762448107315
flaunt,8.060762448107315
flatter,8.060762448107315
flatten,8.060762448107315
read twitter,8.060762448107315
flag,8.060762448107315
flu virus,8.060762448107315
fkn,8.060762448107315
read virus,8.060762448107315
readily,8.060762448107315
real action,8.060762448107315
first responder,8.060762448107315
real bully,8.060762448107315
flinch,8.060762448107315
flip,8.060762448107315
ravage,8.060762448107315
rather tackle,8.060762448107315
flood victim,8.060762448107315
rate zero,8.060762448107315
rate 0,8.060762448107315
rape,8.060762448107315
rap,8.060762448107315
ranting,8.060762448107315
flu bully,8.060762448107315
flu call,8.060762448107315
flu kill,8.060762448107315
flu originate,8.060762448107315
flu pandemic,8.060762448107315
rank,8.060762448107315
flu vaccine,8.060762448107315
foundation,8.060762448107315
racist coronavirus,8.060762448107315
psyop,8.060762448107315
push back,8.060762448107315
pure,8.060762448107315
fumble,8.060762448107315
pure immature,8.060762448107315
purpose virus,8.060762448107315
full shit,8.060762448107315
purposely,8.060762448107315
put cage,8.060762448107315
fuck kill,8.060762448107315
fuckwit know,8.060762448107315
put people,8.060762448107315
put stop,8.060762448107315
quality life,8.060762448107315
fucken,8.060762448107315
fuck user,8.060762448107315
puppy,8.060762448107315
fun chinese,8.060762448107315
fun tell,8.060762448107315
function,8.060762448107315
pumpouttrumprepublicanpartycesspool2020,8.060762448107315
pulpit spread,8.060762448107315
funny people,8.060762448107315
pui m,8.060762448107315
future generation,8.060762448107315
pui,8.060762448107315
publish,8.060762448107315
public school,8.060762448107315
public due,8.060762448107315
game show,8.060762448107315
pt,8.060762448107315
garden,8.060762448107315
garden bridge,8.060762448107315
question can't,8.060762448107315
fuck corona,8.060762448107315
racism use,8.060762448107315
freedom,8.060762448107315
friend also,8.060762448107315
raab,8.060762448107315
fridaythoughts,8.060762448107315
friday,8.060762448107315
fresh,8.060762448107315
racialism,8.060762448107315
free world,8.060762448107315
question covid,8.060762448107315
racism asian,8.060762448107315
racism blame,8.060762448107315
racism corona,8.060762448107315
racism people,8.060762448107315
france,8.060762448107315
fragile ego,8.060762448107315
r4today,8.060762448107315
friend family,8.060762448107315
friend sick,8.060762448107315
friend suffer,8.060762448107315
friend virus,8.060762448107315
r u,8.060762448107315
frighten,8.060762448107315
frm,8.060762448107315
quote tweet,8.060762448107315
quietly,8.060762448107315
front virus,8.060762448107315
frontliners,8.060762448107315
fruit,8.060762448107315
frustrated,8.060762448107315
frustration,8.060762448107315
quick reminder,8.060762448107315
question stop,8.060762448107315
enter world,8.060762448107315
root,8.060762448107315
go please,8.060762448107315
deceit,8.060762448107315
decent harass,8.060762448107315
sociopath misogynist,8.060762448107315
soft,8.060762448107315
december,8.060762448107315
deceive,8.060762448107315
deceitful,8.060762448107315
soil,8.060762448107315
socialdistancingnow,8.060762448107315
solace,8.060762448107315
solely focus,8.060762448107315
debacle,8.060762448107315
deb,8.060762448107315
death sentence,8.060762448107315
death result,8.060762448107315
socialist,8.060762448107315
socialdistancing,8.060762448107315
daughter niece,8.060762448107315
sneeze allergy,8.060762448107315
smarter,8.060762448107315
deficit,8.060762448107315
smear rumor,8.060762448107315
smug,8.060762448107315
snap,8.060762448107315
defend trump,8.060762448107315
sniffle,8.060762448107315
decline,8.060762448107315
snowflake,8.060762448107315
defame,8.060762448107315
snp,8.060762448107315
sober,8.060762448107315
socalled,8.060762448107315
decrease,8.060762448107315
solve,8.060762448107315
death coronavirus,8.060762448107315
som,8.060762448107315
man think,8.060762448107315
day without,8.060762448107315
sore,8.060762448107315
day trump,8.060762448107315
day think,8.060762448107315
day take,8.060762448107315
day one,8.060762448107315
sorry bully,8.060762448107315
someday,8.060762448107315
day get,8.060762448107315
day even,8.060762448107315
sorry guy,8.060762448107315
south africa,8.060762448107315
dawn,8.060762448107315
dawg,8.060762448107315
dc,8.060762448107315
de,8.060762448107315
sooner later,8.060762448107315
deadline,8.060762448107315
song,8.060762448107315
deadly flu,8.060762448107315
deadly pandemic,8.060762448107315
something else,8.060762448107315
deal brexit,8.060762448107315
someone tell,8.060762448107315
someone start,8.060762448107315
deal virus,8.060762448107315
someone please,8.060762448107315
someone go,8.060762448107315
dear bill,8.060762448107315
dear god,8.060762448107315
someone coronavirus,8.060762448107315
definitely bully,8.060762448107315
smart enough,8.060762448107315
degrade bully,8.060762448107315
significant,8.060762448107315
side effect,8.060762448107315
side eye,8.060762448107315
side get,8.060762448107315
despite cdc,8.060762448107315
despise,8.060762448107315
despicable shameless,8.060762448107315
desperately need,8.060762448107315
descend,8.060762448107315
silly name,8.060762448107315
deserve good,8.060762448107315
deserve get,8.060762448107315
deserve corona,8.060762448107315
deserve bully,8.060762448107315
silver,8.060762448107315
detail,8.060762448107315
detain,8.060762448107315
sick people,8.060762448107315
detention,8.060762448107315
sick i'm,8.060762448107315
devastate,8.060762448107315
sick even,8.060762448107315
develop vaccine,8.060762448107315
development,8.060762448107315
sick coronavirus,8.060762448107315
sibling,8.060762448107315
si,8.060762448107315
devil bully,8.060762448107315
shun,8.060762448107315
shud,8.060762448107315
shrink,8.060762448107315
diamond,8.060762448107315
silver lining,8.060762448107315
derogatory nickname,8.060762448107315
sling,8.060762448107315
skin colour,8.060762448107315
sit act,8.060762448107315
democrat want,8.060762448107315
sit behind,8.060762448107315
situation people,8.060762448107315
democrat covid,8.060762448107315
six,8.060762448107315
demented,8.060762448107315
simple mind,8.060762448107315
sky,8.060762448107315
slander,8.060762448107315
slander lie,8.060762448107315
dem hoax,8.060762448107315
delivery,8.060762448107315
slight,8.060762448107315
sister tell,8.060762448107315
democratic party,8.060762448107315
demonize,8.060762448107315
sir virus,8.060762448107315
demoralize,8.060762448107315
sinister,8.060762448107315
dengue,8.060762448107315
single handedly,8.060762448107315
single beloved,8.060762448107315
deny threat,8.060762448107315
deny virus,8.060762448107315
sing,8.060762448107315
since 2016,8.060762448107315
simply wrong,8.060762448107315
deport,8.060762448107315
deportation,8.060762448107315
simply answer,8.060762448107315
daughter's,8.060762448107315
daughter high,8.060762448107315
ensure,8.060762448107315
crap u,8.060762448107315
create covid,8.060762448107315
create bully,8.060762448107315
stay bully,8.060762448107315
crazy insane,8.060762448107315
stay inside,8.060762448107315
stayathome,8.060762448107315
crap afraid,8.060762448107315
create spread,8.060762448107315
stealth bully,8.060762448107315
cpac,8.060762448107315
steer,8.060762448107315
stem,8.060762448107315
coworker,8.060762448107315
cowardly bully,8.060762448107315
state leader,8.060762448107315
credibility,8.060762448107315
daughter get,8.060762448107315
start rumour,8.060762448107315
start get,8.060762448107315
crisis corona,8.060762448107315
crisis cannot,8.060762448107315
start home,8.060762448107315
start look,8.060762448107315
start right,8.060762448107315
starvation,8.060762448107315
state fend,8.060762448107315
stash,8.060762448107315
crime cuz,8.060762448107315
state call,8.060762448107315
state covid,8.060762448107315
state fact,8.060762448107315
credit thing,8.060762448107315
step take,8.060762448107315
cowardice,8.060762448107315
coward stop,8.060762448107315
covid spread,8.060762448107315
still make,8.060762448107315
still need,8.060762448107315
covid would,8.060762448107315
covid world,8.060762448107315
still outbreak,8.060762448107315
still prison,8.060762448107315
covid melania,8.060762448107315
coward see,8.060762448107315
covid equivalent,8.060762448107315
covid crisis,8.060762448107315
covid bully,8.060762448107315
covid big,8.060762448107315
still seem,8.060762448107315
covid 1,8.060762448107315
covid19 chinese,8.060762448107315
still live,8.060762448107315
covid19 coronavirusupdate,8.060762448107315
covid19 crisis,8.060762448107315
covid19 one,8.060762448107315
covid19 pandemic,8.060762448107315
covid19 u,8.060762448107315
covid19 would,8.060762448107315
covid19us,8.060762448107315
still know,8.060762448107315
still can't,8.060762448107315
still call,8.060762448107315
still allow,8.060762448107315
covidー19 coronavirus,8.060762448107315
cow,8.060762448107315
still act,8.060762448107315
steven,8.060762448107315
crisis get,8.060762448107315
crisis god,8.060762448107315
crisis like,8.060762448107315
spread china,8.060762448107315
cv positive,8.060762448107315
cuz covid,8.060762448107315
cuz coronavirus,8.060762448107315
cuz corona,8.060762448107315
cuz bully,8.060762448107315
spread bully,8.060762448107315
cut bully,8.060762448107315
spread lie,8.060762448107315
spread chinese,8.060762448107315
spread deadly,8.060762448107315
custom,8.060762448107315
cus,8.060762448107315
curve,8.060762448107315
spread hate,8.060762448107315
cvirus,8.060762448107315
spread across,8.060762448107315
spray,8.060762448107315
spirit ethos,8.060762448107315
specifically,8.060762448107315
daily coronavirus,8.060762448107315
daily coward,8.060762448107315
specific name,8.060762448107315
speaking,8.060762448107315
speaker,8.060762448107315
damn corona,8.060762448107315
speak like,8.060762448107315
danger virus,8.060762448107315
spare,8.060762448107315
spar,8.060762448107315
daniel,8.060762448107315
spanish people,8.060762448107315
spread kill,8.060762448107315
curious,8.060762448107315
crisis still,8.060762448107315
crook,8.060762448107315
cruel kid,8.060762448107315
cruel bully,8.060762448107315
stand stop,8.060762448107315
crowd,8.060762448107315
crossing,8.060762448107315
stand together,8.060762448107315
standwithhongkong,8.060762448107315
cure malaria,8.060762448107315
stans,8.060762448107315
start act,8.060762448107315
start attack,8.060762448107315
start feel,8.060762448107315
critic,8.060762448107315
crisis time,8.060762448107315
cruelty,8.060762448107315
crush,8.060762448107315
stable genius,8.060762448107315
cry baby,8.060762448107315
cry class,8.060762448107315
cry go,8.060762448107315
cry like,8.060762448107315
cry people,8.060762448107315
ct,8.060762448107315
cu,8.060762448107315
cultural,8.060762448107315
spreader,8.060762448107315
spread shit,8.060762448107315
cure corona,8.060762448107315
cure coronavirus,8.060762448107315
spread put,8.060762448107315
spread message,8.060762448107315
show world,8.060762448107315
dickhead try,8.060762448107315
dictate,8.060762448107315
say time,8.060762448107315
east asian,8.060762448107315
say stop,8.060762448107315
easily bully,8.060762448107315
earthquake,8.060762448107315
earn money,8.060762448107315
early covid,8.060762448107315
say user,8.060762448107315
say nothing,8.060762448107315
say would,8.060762448107315
ear,8.060762448107315
scammer,8.060762448107315
scandal,8.060762448107315
dun,8.060762448107315
dumptrumpvirus2020 pumpouttrumprepublicanpartycesspool2020,8.060762448107315
say say,8.060762448107315
say make,8.060762448107315
show u,8.060762448107315
say bts,8.060762448107315
say african,8.060762448107315
ed,8.060762448107315
say best,8.060762448107315
economy let,8.060762448107315
economy go,8.060762448107315
economy can't,8.060762448107315
say care,8.060762448107315
say let,8.060762448107315
say cnn,8.060762448107315
eclipse,8.060762448107315
ebola outbreak,8.060762448107315
say every,8.060762448107315
say hoax,8.060762448107315
say kid,8.060762448107315
scar bully,8.060762448107315
dump,8.060762448107315
scar corona,8.060762448107315
school people,8.060762448107315
drop bully,8.060762448107315
school fellow,8.060762448107315
drone,8.060762448107315
drive people,8.060762448107315
school ground,8.060762448107315
dress,8.060762448107315
draw attention,8.060762448107315
scar coronavirus,8.060762448107315
school probably,8.060762448107315
school well,8.060762448107315
school would,8.060762448107315
schoolgirl,8.060762448107315
schoolgirl sneeze,8.060762448107315
schoolyard bullying,8.060762448107315
school district,8.060762448107315
drs,8.060762448107315
drs nurse,8.060762448107315
school could,8.060762448107315
dry,8.060762448107315
school boy,8.060762448107315
school asian,8.060762448107315
school also,8.060762448107315
due incompetence,8.060762448107315
due political,8.060762448107315
scare virus,8.060762448107315
scar people,8.060762448107315
dumb enough,8.060762448107315
dumb fuck,8.060762448107315
dumb kid,8.060762448107315
dumb shit,8.060762448107315
dumb thing,8.060762448107315
eff ego,8.060762448107315
save plummeting,8.060762448107315
effect everyone,8.060762448107315
end day,8.060762448107315
endanger,8.060762448107315
end world,8.060762448107315
end well,8.060762448107315
end u,8.060762448107315
end time,8.060762448107315
end let,8.060762448107315
rule law,8.060762448107315
embarrassment,8.060762448107315
encounter,8.060762448107315
enablers,8.060762448107315
rumor china,8.060762448107315
employ,8.060762448107315
run president,8.060762448107315
emotionally,8.060762448107315
endless,8.060762448107315
endlessly,8.060762448107315
rude bully,8.060762448107315
rt,8.060762448107315
enemyofthepeople,8.060762448107315
energy bully,8.060762448107315
roy cohn,8.060762448107315
roy,8.060762448107315
engagement baby,8.060762448107315
english,8.060762448107315
round,8.060762448107315
rough,8.060762448107315
enough bullying,8.060762448107315
enough get,8.060762448107315
enough test,8.060762448107315
enough time,8.060762448107315
enrage,8.060762448107315
emerge,8.060762448107315
embarrassed,8.060762448107315
effect virus,8.060762448107315
sarah,8.060762448107315
elderly people,8.060762448107315
elderly parent,8.060762448107315
el,8.060762448107315
saga,8.060762448107315
sanction bully,8.060762448107315
sane,8.060762448107315
egotistical,8.060762448107315
russian virus,8.060762448107315
egocentric,8.060762448107315
ego iow,8.060762448107315
saturday give,8.060762448107315
egg,8.060762448107315
savagely,8.060762448107315
save job,8.060762448107315
safer,8.060762448107315
elect president,8.060762448107315
safe go,8.060762448107315
safe coronavirus,8.060762448107315
element,8.060762448107315
elementary,8.060762448107315
safe corona,8.060762448107315
sadden loss,8.060762448107315
sad part,8.060762448107315
elitist,8.060762448107315
sad day,8.060762448107315
else defer,8.060762448107315
else say,8.060762448107315
else virus,8.060762448107315
sad bully,8.060762448107315
sack bully,8.060762448107315
em,8.060762448107315
score,8.060762448107315
scream cannot,8.060762448107315
dpa,8.060762448107315
shame take,8.060762448107315
shady,8.060762448107315
disgraceful,8.060762448107315
shallow,8.060762448107315
disease cause,8.060762448107315
sham racist,8.060762448107315
discussion,8.060762448107315
discrimination bully,8.060762448107315
shatter,8.060762448107315
shameless bastard,8.060762448107315
discriminate chinese,8.060762448107315
discriminate bully,8.060762448107315
share bully,8.060762448107315
shared,8.060762448107315
discourage,8.060762448107315
disgust bully,8.060762448107315
sexual predator,8.060762448107315
disinformation,8.060762448107315
dislike,8.060762448107315
dismantle,8.060762448107315
dismantle pandemic,8.060762448107315
sexual assault,8.060762448107315
sexist,8.060762448107315
sex trafficking,8.060762448107315
disneyland,8.060762448107315
display,8.060762448107315
severity covid,8.060762448107315
severely,8.060762448107315
settle,8.060762448107315
disrespectful,8.060762448107315
disseminate,8.060762448107315
dissolve,8.060762448107315
disco,8.060762448107315
shattered,8.060762448107315
set lifetime,8.060762448107315
shore,8.060762448107315
different name,8.060762448107315
shooter,8.060762448107315
die user,8.060762448107315
die trump,8.060762448107315
die result,8.060762448107315
die hunger,8.060762448107315
shortage,8.060762448107315
shed,8.060762448107315
shout bully,8.060762448107315
die corona,8.060762448107315
die bully,8.060762448107315
show lack,8.060762448107315
show lot,8.060762448107315
show symptom,8.060762448107315
shithole,8.060762448107315
difficulty,8.060762448107315
difficulty get,8.060762448107315
dig,8.060762448107315
diminish,8.060762448107315
diplomacy,8.060762448107315
diplomat,8.060762448107315
shit go,8.060762448107315
shit cause,8.060762448107315
shirt,8.060762448107315
shin,8.060762448107315
shift responsibility,8.060762448107315
dis,8.060762448107315
disability,8.060762448107315
disadvantage,8.060762448107315
shes,8.060762448107315
shelf,8.060762448107315
dissolve pandemic,8.060762448107315
set allow,8.060762448107315
downplay virus,8.060762448107315
donald virus,8.060762448107315
donnie jr,8.060762448107315
donnie bully,8.060762448107315
see corona,8.060762448107315
see donald,8.060762448107315
see get,8.060762448107315
see news,8.060762448107315
donald tump,8.060762448107315
see vietnam,8.060762448107315
see people,8.060762448107315
see reflect,8.060762448107315
donald bully,8.060762448107315
see someone,8.060762448107315
see thing,8.060762448107315
see trump,8.060762448107315
see asian,8.060762448107315
donor,8.060762448107315
secure,8.060762448107315
section,8.060762448107315
dont know,8.060762448107315
secret,8.060762448107315
dont need,8.060762448107315
secondary school,8.060762448107315
donthecon,8.060762448107315
season bullying,8.060762448107315
se,8.060762448107315
double donnie's,8.060762448107315
scumbags,8.060762448107315
doubt want,8.060762448107315
dow,8.060762448107315
script,8.060762448107315
screenshot,8.060762448107315
see u,8.060762448107315
dominate,8.060762448107315
distancing wife,8.060762448107315
divided,8.060762448107315
djt bully,8.060762448107315
sell u,8.060762448107315
senate democrat,8.060762448107315
send china,8.060762448107315
division bullying,8.060762448107315
sense urgency,8.060762448107315
divert attention,8.060762448107315
seed,8.060762448107315
sent,8.060762448107315
disturbing,8.060762448107315
sequence,8.060762448107315
series,8.060762448107315
seriously would,8.060762448107315
distortion,8.060762448107315
sell soul,8.060762448107315
selfserving,8.060762448107315
selfless,8.060762448107315
do absolute,8.060762448107315
selfisolation,8.060762448107315
do something,8.060762448107315
selfishness,8.060762448107315
self serve,8.060762448107315
self isolation,8.060762448107315
doctor test,8.060762448107315
doctor use,8.060762448107315
seem work,8.060762448107315
seem much,8.060762448107315
seem grasp,8.060762448107315
seem bully,8.060762448107315
dogma,8.060762448107315
